Pct.,Andel berettigede
"Funktionærer og
Servicefag",0.0
Magistre (MA),1.5
Akademikernes akasse,4.3
Lærere (DLF-A),5.0
"Journalistik,
Kommunikation og Sprog",11.5
"Børne- og
Ungdomspædagoger
(BUPL-A)",13.8
ikke-forsikrede,14.5
Socialpædagoger (SLA),20.3
Økonomer (CA),24.3
Selvstændige (DANA),29.8
"Selvstændige
Erhvervsdrivende (ASE)",36.3
Teknikere,39.5
Kristelig a-kasse,42.7
"Danske
Sundhedsorganisationer
(DSA)",44.5
Fag og Arbejde (FOA),46.5
Det Faglige Hus a-kasse,46.7
El-faget,49.8
Byggefagenes a-kasse,50.8
"Faglig Fælles a-kasse
(3F)",55.6
Min a-kasse,56.0
"Funktionærer og
Tjenestemænd (FTF-A)",56.2
Ledere,57.2
"Handels- og
Kontorfunktionærer (HK)",57.9
Frie Funktionærer (FFA),58.2
Metalarbejdere,62.9
Fødevareforbundet (NNF),64.1
