"Andel med ret til tidlig pension, pct.",Andel berettigede,Gruppe,Unnamed: 3
Tårnby,50.4,Over 39 pct.,
Vallensbæk,50.2,Over 39 pct.,
Solrød,49.3,Over 39 pct.,
Egedal,47.4,Over 39 pct.,
Greve,46.5,Over 39 pct.,
Billund,45.4,Over 39 pct.,
Ikast-Brande,42.7,Over 39 pct.,
Høje-Taastrup,42.4,Over 39 pct.,
Køge,42.3,Over 39 pct.,
Frederikssund,42.0,Over 39 pct.,
Hvidovre,41.3,Over 39 pct.,
Hedensted,41.3,Over 39 pct.,
Dragør,41.2,Over 39 pct.,
Varde,41.1,Over 39 pct.,
Stevns,41.1,Over 39 pct.,
Ringkøbing-Skjern,40.9,Over 39 pct.,
Herning,40.8,Over 39 pct.,
Vejen,40.6,Over 39 pct.,
Glostrup,40.4,Over 39 pct.,
Lejre,40.4,Over 39 pct.,
Ballerup,40.2,Over 39 pct.,
Faxe,39.9,Over 39 pct.,
Ringsted,39.5,Over 39 pct.,
Favrskov,39.2,Over 39 pct.,
Holstebro,39.1,Over 39 pct.,
Herlev,39.0,Over 39 pct.,
Rødovre,38.9,36 - 39 pct.,
Kalundborg,38.9,36 - 39 pct.,
Nordfyns,38.8,36 - 39 pct.,
Læsø,38.4,36 - 39 pct.,
Tønder,38.3,36 - 39 pct.,
Skive,38.1,36 - 39 pct.,
Lemvig,37.9,36 - 39 pct.,
Roskilde,37.7,36 - 39 pct.,
Viborg,37.6,36 - 39 pct.,
Slagelse,37.4,36 - 39 pct.,
Hillerød,37.4,36 - 39 pct.,
Struer,37.4,36 - 39 pct.,
Holbæk,37.3,36 - 39 pct.,
Sorø,37.3,36 - 39 pct.,
Ishøj,37.2,36 - 39 pct.,
Odsherred,37.1,36 - 39 pct.,
Næstved,37.0,36 - 39 pct.,
Morsø,36.9,36 - 39 pct.,
Brøndby,36.8,36 - 39 pct.,
Hjørring,36.3,36 - 39 pct.,
Thisted,36.3,36 - 39 pct.,
Middelfart,36.1,36 - 39 pct.,
Kerteminde,36.1,36 - 39 pct.,
Haderslev,36.0,34 - 36 pct.,
Bornholm,36.0,34 - 36 pct.,
Gribskov,35.9,34 - 36 pct.,
Faaborg-Midtfyn,35.8,34 - 36 pct.,
Guldborgsund,35.8,34 - 36 pct.,
Halsnæs,35.7,34 - 36 pct.,
Mariagerfjord,35.6,34 - 36 pct.,
Esbjerg,35.6,34 - 36 pct.,
Jammerbugt,35.5,34 - 36 pct.,
Allerød,35.5,34 - 36 pct.,
Aabenraa,35.4,34 - 36 pct.,
Fredericia,35.3,34 - 36 pct.,
Rebild,35.1,34 - 36 pct.,
Silkeborg,35.0,34 - 36 pct.,
Frederikshavn,34.9,34 - 36 pct.,
Brønderslev,34.7,34 - 36 pct.,
Assens,34.6,34 - 36 pct.,
Horsens,34.4,34 - 36 pct.,
Odder,34.4,34 - 36 pct.,
Langeland,34.1,34 - 36 pct.,
Kolding,34.1,34 - 36 pct.,
Skanderborg,33.8,Under 34 pct.,
Sønderborg,33.8,Under 34 pct.,
Vejle,33.8,Under 34 pct.,
Syddjurs,33.6,Under 34 pct.,
Lolland,33.2,Under 34 pct.,
Nyborg,33.0,Under 34 pct.,
Vordingborg,33.0,Under 34 pct.,
Randers,33.0,Under 34 pct.,
Vesthimmerlands,33.0,Under 34 pct.,
Gladsaxe,32.6,Under 34 pct.,
Samsø,31.7,Under 34 pct.,
Norddjurs,30.7,Under 34 pct.,
Albertslund,30.4,Under 34 pct.,
Aalborg,30.3,Under 34 pct.,
Helsingør,30.2,Under 34 pct.,
Hørsholm,29.7,Under 34 pct.,
Fredensborg,29.5,Under 34 pct.,
Svendborg,29.1,Under 34 pct.,
Odense,28.8,Under 34 pct.,
Ærø,28.0,Under 34 pct.,
Furesø,27.1,Under 34 pct.,
Lyngby-Taarbæk,24.2,Under 34 pct.,
Frederiksberg,23.7,Under 34 pct.,
Rudersdal,23.5,Under 34 pct.,
Aarhus,23.2,Under 34 pct.,
København,21.2,Under 34 pct.,
Gentofte,20.5,Under 34 pct.,
Fanø,17.6,Under 34 pct.,
