Pct.,2022,2025
Funktionærer og Servicefag,0.0,0.0
Magistre (MA),1.9,1.8
Akademikernes akasse,5.7,5.6
Lærere (DLF-A),8.1,8.2
"Journalistik, Kommunikation og Sprog",15.7,10.2
Børne- og Ungdomspædagoger (BUPL-A),16.2,15.8
Ikke forsikrede,16.4,14.9
Socialpædagoger (SLA),24.2,25.2
Økonomer (CA),24.8,18.2
Selvstændige (DANA),39.6,39.1
Danske Sundhedsorganisationer (DSA),45.1,30.0
Teknikere,46.1,54.7
Selvstændige Erhvervsdrivende (ASE),46.8,47.5
Kristelig a-kasse,46.8,50.4
Det Faglige Hus a-kasse,52.0,57.3
El-faget,53.8,83.9
Fag og Arbejde (FOA),54.3,56.5
Byggefagenes a-kasse,55.2,71.9
Funktionærer og Tjenestemænd (FTF-A),57.8,59.9
Min a-kasse,58.8,65.1
Ledere,58.9,64.4
Frie Funktionærer (FFA),60.4,59.4
Handels- og Kontorfunktionærer (HK),61.7,62.9
Faglig Fælles a-kasse (3F),62.4,68.6
Metalarbejdere,65.3,83.5
Fødevareforbundet (NNF),71.4,72.1
