1.000 Personer,2022,2023,2024,2025,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Berettigede til tidlig pension, heraf:",41.0,49.0,57.0,56.0,,,,,,
Beskæftigelse (ekskl. fleksjob),11.0,15.0,18.0,20.0,,,,,,
"Dagpenge, sygedagpenge og fleksjob**",2.0,2.0,3.0,3.0,,,,,,
Efterløn*,27.0,30.0,33.0,30.0,,,,,,
Andre overførsler samt selvforsørgende**,2.0,3.0,3.0,3.0,,,,,,
,,,,,,,,,,
"Benytter tidlig pension, heraf:",24.0,29.0,32.0,29.0,,,,,,
Beskæftigelse (ekskl. fleksjob),6.0,9.0,11.0,12.0,,,,,,
"Dagpenge, sygedagpenge og fleksjob**",0.0,1.0,1.0,1.0,,,,,,
Efterløn,16.0,18.0,19.0,14.0,,,,,,
Andre overførsler samt selvforsørgende**,1.0,2.0,2.0,2.0,,,,,,
